deployment,year,VegHF,SoilHF,VegForDetectionDistance,DeploymentYear
ABMI-1459-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1459-NW_2017
ABMI-1459-SE,2017,GrassHerb,Sy,Grass,ABMI-1459-SE_2017
ABMI-1459-SW,2017,CultivationAbandoned,CultivationAbandoned,HF,ABMI-1459-SW_2017
ABMI-1460-NE,2017,WellSite,WellSite,HF,ABMI-1460-NE_2017
ABMI-1460-NW,2017,GrassHerb,Sa,Grass,ABMI-1460-NW_2017
ABMI-1460-SE,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1460-SE_2017
ABMI-1460-SW,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1460-SW_2017
ABMI-1461-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1461-NE_2017
ABMI-1461-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1461-NW_2017
ABMI-1461-SE,2017,Shrub,Ov,Shrub,ABMI-1461-SE_2017
ABMI-1461-SW,2017,ShrubbySwamp,Ov,Shrub,ABMI-1461-SW_2017
ABMI-1462-NE,2018,GrassHerb,,Grass,ABMI-1462-NE_2018
ABMI-1462-SW,2018,GrassHerb,,Grass,ABMI-1462-SW_2018
ABMI-1463-NE,2018,GrassHerb,,Grass,ABMI-1463-NE_2018
ABMI-1463-SW,2018,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1463-SW_2018
ABMI-1464-NE,2018,GrassHerb,,Grass,ABMI-1464-NE_2018
ABMI-1464-SW,2018,GrassHerb,,Grass,ABMI-1464-SW_2018
ABMI-1465-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1465-NE_2016
ABMI-1465-NW,2016,UrbanIndustrial,UrbanIndustrial,HF,ABMI-1465-NW_2016
ABMI-1465-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1465-SE_2016
ABMI-1465-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1465-SW_2016
ABMI-1466-NE,2017,Mixedwood6,,Decid,ABMI-1466-NE_2017
ABMI-1466-NW,2017,Decid5,,Decid,ABMI-1466-NW_2017
ABMI-1466-SE,2017,TreedSwamp5,,WetTreed,ABMI-1466-SE_2017
ABMI-1466-SW,2017,TransmissionLine,TransmissionLine,HF,ABMI-1466-SW_2017
ABMI-1467-NE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1467-NE_2017
ABMI-1467-NW,2017,Mixedwood7,,Decid,ABMI-1467-NW_2017
ABMI-1467-SE,2017,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1467-SE_2017
ABMI-1467-SW,2017,Pine6,,Conif,ABMI-1467-SW_2017
ABMI-1468-NE,2018,GrassHerb,,Grass,ABMI-1468-NE_2018
ABMI-1468-NW,2018,Bare,,Grass,ABMI-1468-NW_2018
ABMI-1468-SE,2018,Shrub,,Shrub,ABMI-1468-SE_2018
ABMI-1468-SW,2018,GrassHerb,,Grass,ABMI-1468-SW_2018
ABMI-1469-NE,2018,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1469-NE_2018
ABMI-1469-NW,2018,GrassHerb,,Grass,ABMI-1469-NW_2018
ABMI-1469-SE,2018,Spruce6,,Conif,ABMI-1469-SE_2018
ABMI-1469-SW,2018,GrassHerb,,Grass,ABMI-1469-SW_2018
ABMI-1470-NE,2017,Spruce6,Lo,Conif,ABMI-1470-NE_2017
ABMI-1470-NW,2017,CCSpruce1,CutBlocks,HF,ABMI-1470-NW_2017
ABMI-1470-SE,2017,GrassHerb,Lo,Grass,ABMI-1470-SE_2017
ABMI-1470-SW,2017,GrassHerb,Lo,Grass,ABMI-1470-SW_2017
ABMI-1471-NE,2016,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1471-NE_2016
ABMI-1471-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1471-NW_2016
ABMI-1471-SE,2016,GrassHerb,Cy,HF,ABMI-1471-SE_2016
ABMI-1471-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1471-SW_2016
ABMI-1472-NE,2016,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1472-NE_2016
ABMI-1472-SE,2016,Reservoir,Reservoir,Water,ABMI-1472-SE_2016
ABMI-1472-SW,2016,Decid6,LtcR,Decid,ABMI-1472-SW_2016
ABMI-1473-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1473-NE_2016
ABMI-1473-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1473-NW_2016
ABMI-1473-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1473-SE_2016
ABMI-1473-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1473-SW_2016
ABMI-1474-NE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1474-NE_2018
ABMI-1474-SW,2018,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1474-SW_2018
ABMI-1475-NE,2018,GrassHerb,,Grass,ABMI-1475-NE_2018
ABMI-1475-SW,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1475-SW_2018
ABMI-1477-NE,2015,WellSite,WellSite,HF,ABMI-1477-NE_2015
ABMI-1477-NW,2015,CultivationCrop,CultivationCrop,Grass,ABMI-1477-NW_2015
ABMI-1477-SE,2015,WellSite,WellSite,HF,ABMI-1477-SE_2015
ABMI-1477-SW,2015,WellSite,WellSite,HF,ABMI-1477-SW_2015
ABMI-1478-NE,2015,GrassHerb,Lo,Grass,ABMI-1478-NE_2015
ABMI-1478-NW,2015,GrassHerb,Lo,Grass,ABMI-1478-NW_2015
ABMI-1478-SE,2015,GrassHerb,Lo,Grass,ABMI-1478-SE_2015
ABMI-1478-SW,2015,GrassHerb,Lo,Grass,ABMI-1478-SW_2015
ABMI-1479-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1479-NE_2015
ABMI-1479-NW,2015,GrassHerb,BlO,Grass,ABMI-1479-NW_2015
ABMI-1479-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1479-SE_2015
ABMI-1479-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1479-SW_2015
ABMI-1480-NE,2017,GrassHerb,Sa,Grass,ABMI-1480-NE_2017
ABMI-1480-NW,2017,GrassHerb,CS,Grass,ABMI-1480-NW_2017
ABMI-1480-SE,2017,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1480-SE_2017
ABMI-1480-SW,2017,GrassHerb,Sa,Grass,ABMI-1480-SW_2017
ABMI-1481-NE,2017,GrassHerb,TB,Grass,ABMI-1481-NE_2017
ABMI-1481-NW,2017,GrassHerb,TB,Grass,ABMI-1481-NW_2017
ABMI-1481-SE,2017,GrassHerb,Sy,Grass,ABMI-1481-SE_2017
ABMI-1481-SW,2017,GrassHerb,Sy,Grass,ABMI-1481-SW_2017
ABMI-1482-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1482-NE_2017
ABMI-1482-NW,2017,RoadHardSurface,RoadHardSurface,HF,ABMI-1482-NW_2017
ABMI-1482-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1482-SE_2017
ABMI-1482-SW,2017,CultivationAbandoned,CultivationAbandoned,HF,ABMI-1482-SW_2017
ABMI-1486-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1486-NE_2016
ABMI-1486-NW,2016,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1486-NW_2016
ABMI-1486-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1486-SE_2016
ABMI-1486-SW,2016,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1486-SW_2016
ABMI-1491-NE,2015,ShrubbySwamp,Lo,Shrub,ABMI-1491-NE_2015
ABMI-1491-NW,2015,Spruce7,Lo,Conif,ABMI-1491-NW_2015
ABMI-1491-SE,2015,Decid6,Cy,Decid,ABMI-1491-SE_2015
ABMI-1491-SW,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1491-SW_2015
ABMI-1492-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1492-NE_2015
ABMI-1492-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1492-NW_2015
ABMI-1492-SE,2015,Decid4,Lo,Decid,ABMI-1492-SE_2015
ABMI-1492-SW,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1492-SW_2015
ABMI-1493B-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1493B-NE_2015
ABMI-1493B-NW,2015,GrassHerb,Li,HF,ABMI-1493B-NW_2015
ABMI-1493B-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1493B-SE_2015
ABMI-1493B-SW,2015,UrbanIndustrial,UrbanIndustrial,HF,ABMI-1493B-SW_2015
ABMI-1494-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1494-NE_2017
ABMI-1494-NW,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1494-NW_2017
ABMI-1494-SE,2017,GrassHerb,Lo,Grass,ABMI-1494-SE_2017
ABMI-1494-SW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1494-SW_2017
ABMI-1495-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1495-NE_2017
ABMI-1495-NW,2017,Marsh,Lo,WetGrass,ABMI-1495-NW_2017
ABMI-1495-SE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1495-SE_2017
ABMI-1495-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1495-SW_2017
ABMI-1496-NE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1496-NE_2017
ABMI-1496-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1496-NW_2017
ABMI-1496-SE,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1496-SE_2017
ABMI-1496-SW,2017,TransmissionLine,TransmissionLine,HF,ABMI-1496-SW_2017
ABMI-1497-NE,2018,GrassHerb,,Grass,ABMI-1497-NE_2018
ABMI-1497-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1497-SW_2018
ABMI-1498-NE,2018,CultivationCrop,CultivationCrop,HF,ABMI-1498-NE_2018
ABMI-1498-SW,2018,GrassHerb,,Grass,ABMI-1498-SW_2018
ABMI-1499-NE,2018,GrassHerb,,Grass,ABMI-1499-NE_2018
ABMI-1499-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1499-SW_2018
ABMI-14-NE,2015,PineR,,Conif,ABMI-14-NE_2015
ABMI-14-NW,2015,PineR,,WetTreed,ABMI-14-NW_2015
ABMI-14-SE,2015,TreedFenR,,WetTreed,ABMI-14-SE_2015
ABMI-14-SW,2015,PineR,,Conif,ABMI-14-SW_2015
ABMI-1500-NE,2016,GrassHerb,Lo,Grass,ABMI-1500-NE_2016
ABMI-1500-NW,2016,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1500-NW_2016
ABMI-1500-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1500-SE_2016
ABMI-1500-SW,2016,GrassHerb,Lo,Grass,ABMI-1500-SW_2016
ABMI-1501-NE,2016,GrassHerb,BlO,Water,ABMI-1501-NE_2016
ABMI-1501-SE,2016,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1501-SE_2016
ABMI-1502-NE,2016,GrassHerb,BlO,Grass,ABMI-1502-NE_2016
ABMI-1502-NW,2016,GrassHerb,BlO,Grass,ABMI-1502-NW_2016
ABMI-1502-SE,2016,GrassHerb,BlO,Grass,ABMI-1502-SE_2016
ABMI-1502-SW,2016,GrassHerb,BlO,Grass,ABMI-1502-SW_2016
ABMI-1506-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1506-NE_2015
ABMI-1506-NW,2015,GrassHerb,UNK,HF,ABMI-1506-NW_2015
ABMI-1506-SE,2015,GrassHerb,Lo,Grass,ABMI-1506-SE_2015
ABMI-1506-SW,2015,GrassHerb,Lo,Grass,ABMI-1506-SW_2015
ABMI-1510-NE,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1510-NE_2015
ABMI-1510-NW,2015,Decid6,TB,Decid,ABMI-1510-NW_2015
ABMI-1510-SE,2015,Mixedwood7,Lo,Conif,ABMI-1510-SE_2015
ABMI-1510-SW,2015,GrassHerb,TB,Grass,ABMI-1510-SW_2015
ABMI-1511-NE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1511-NE_2015
ABMI-1511-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1511-NW_2015
ABMI-1511-SE,2015,CultivationTamePasture,CultivationTamePasture,Water,ABMI-1511-SE_2015
ABMI-1511-SW,2015,GrassHerb,Lo,Grass,ABMI-1511-SW_2015
ABMI-1512-NE,2015,Marsh,Lo,HF,ABMI-1512-NE_2015
ABMI-1512-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1512-NW_2015
ABMI-1512-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1512-SE_2015
ABMI-1512-SW,2015,GrassHerb,Lo,Grass,ABMI-1512-SW_2015
ABMI-1513-NE,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1513-NE_2017
ABMI-1513-NW,2017,GrassHerb,Lo,Grass,ABMI-1513-NW_2017
ABMI-1513-NW-b,2017,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1513-NW-b_2017
ABMI-1513-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1513-SE_2017
ABMI-1513-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1513-SW_2017
ABMI-1514-NE,2017,GrassHerb,Lo,Grass,ABMI-1514-NE_2017
ABMI-1514-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1514-NW_2017
ABMI-1514-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1514-SE_2017
ABMI-1514-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1514-SW_2017
ABMI-1515-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1515-NE_2017
ABMI-1515-NW,2017,GrassHerb,Lo,Grass,ABMI-1515-NW_2017
ABMI-1515-SE,2017,GrassHerb,Lo,Grass,ABMI-1515-SE_2017
ABMI-1515-SW,2017,GrassHerb,Lo,Grass,ABMI-1515-SW_2017
ABMI-1516-NE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1516-NE_2018
ABMI-1516-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1516-SW_2018
ABMI-1517-NE,2018,Marsh,,WetGrass,ABMI-1517-NE_2018
ABMI-1517-SW,2018,GrassHerb,,Grass,ABMI-1517-SW_2018
ABMI-1519-NE,2016,GrassHerb,Lo,Grass,ABMI-1519-NE_2016
ABMI-1519-NW,2016,GrassHerb,Lo,HF,ABMI-1519-NW_2016
ABMI-1519-SE,2016,GrassHerb,Lo,Grass,ABMI-1519-SE_2016
ABMI-1519-SW,2016,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1519-SW_2016
ABMI-1520-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1520-NE_2016
ABMI-1520-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1520-NW_2016
ABMI-1520-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1520-SE_2016
ABMI-1520-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1520-SW_2016
ABMI-1521-NE,2016,GrassHerb,Lo,HF,ABMI-1521-NE_2016
ABMI-1521-NW,2016,GrassHerb,Lo,HF,ABMI-1521-NW_2016
ABMI-1521-SE,2016,GrassHerb,BlO,Grass,ABMI-1521-SE_2016
ABMI-1521-SW,2016,RoadVegetatedVerge,RoadVegetatedVerge,Water,ABMI-1521-SW_2016
ABMI-1525B-NE,2015,CultivationTamePasture,CultivationTamePasture,Grass,ABMI-1525B-NE_2015
ABMI-1525B-NW,2015,GrassHerb,Lo,Grass,ABMI-1525B-NW_2015
ABMI-1525B-SE,2015,CultivationRoughPasture,CultivationRoughPasture,Grass,ABMI-1525B-SE_2015
ABMI-1525B-SW,2015,GrassHerb,Lo,Grass,ABMI-1525B-SW_2015
ABMI-1526-NE,2015,GrassHerb,Lo,Grass,ABMI-1526-NE_2015
ABMI-1526-NW,2015,GrassHerb,Lo,Grass,ABMI-1526-NW_2015
ABMI-1526-SE,2015,GrassHerb,Sa,Grass,ABMI-1526-SE_2015
ABMI-1526-SW,2015,GrassHerb,Lo,Grass,ABMI-1526-SW_2015
ABMI-1529-NE,2015,Pine7,,Conif,ABMI-1529-NE_2015
ABMI-1529-NW,2015,Pine7,,Conif,ABMI-1529-NW_2015
ABMI-1529-SE,2015,Pine6,,Conif,ABMI-1529-SE_2015
ABMI-1529-SW,2015,Decid6,,Decid,ABMI-1529-SW_2015
ABMI-1530-NE,2015,GrassHerb,Lo,Grass,ABMI-1530-NE_2015
ABMI-1530-NW,2015,CultivationRoughPasture,CultivationRoughPasture,Grass,ABMI-1530-NW_2015
ABMI-1530-SE,2015,GrassHerb,Gr,Grass,ABMI-1530-SE_2015
ABMI-1530-SW,2015,GrassHerb,LtcR,Grass,ABMI-1530-SW_2015
ABMI-1531-NE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1531-NE_2015
ABMI-1531-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1531-NW_2015
ABMI-1531-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1531-SE_2015
ABMI-1531-SW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1531-SW_2015
ABMI-1532-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1532-NE_2017
ABMI-1532-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1532-NW_2017
ABMI-1532-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1532-SE_2017
ABMI-1532-SW,2017,RuralResidentialIndustrial,RuralResidentialIndustrial,HF,ABMI-1532-SW_2017
ABMI-1533-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1533-NE_2017
ABMI-1533-NW,2017,GrassHerb,Lo,Grass,ABMI-1533-NW_2017
ABMI-1533-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1533-SE_2017
ABMI-1533-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1533-SW_2017
ABMI-1534-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1534-NE_2017
ABMI-1534-NW,2017,GrassHerb,Lo,Grass,ABMI-1534-NW_2017
ABMI-1534-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1534-SE_2017
ABMI-1534-SW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1534-SW_2017
ABMI-1535-NE,2018,CultivationCrop,CultivationCrop,HF,ABMI-1535-NE_2018
ABMI-1535-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1535-SW_2018
ABMI-1536-NE,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1536-NE_2018
ABMI-1536-SW,2018,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1536-SW_2018
ABMI-1537-NE,2018,Marsh,,WetGrass,ABMI-1537-NE_2018
ABMI-1537-SW,2018,GrassHerb,,Grass,ABMI-1537-SW_2018
ABMI-1538-NE,2016,GrassHerb,Sy,Grass,ABMI-1538-NE_2016
ABMI-1538-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1538-NW_2016
ABMI-1538-SE,2016,GrassHerb,Sy,Water,ABMI-1538-SE_2016
ABMI-1538-SW,2016,GrassHerb,Sy,Grass,ABMI-1538-SW_2016
ABMI-1539-NE,2016,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1539-NE_2016
ABMI-1539-NW,2016,WellSite,WellSite,HF,ABMI-1539-NW_2016
ABMI-1539-SE,2016,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1539-SE_2016
ABMI-1539-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1539-SW_2016
ABMI-1540-NE,2016,GrassHerb,BlO,Grass,ABMI-1540-NE_2016
ABMI-1540-NW,2016,GrassHerb,BlO,Grass,ABMI-1540-NW_2016
ABMI-1540-SE,2016,GrassHerb,BlO,Grass,ABMI-1540-SE_2016
ABMI-1540-SW,2016,GrassHerb,UNK,HF,ABMI-1540-SW_2016
ABMI-1544-NE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1544-NE_2015
ABMI-1544-NW,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1544-NW_2015
ABMI-1544-SE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1544-SE_2015
ABMI-1544-SW,2015,GrassHerb,Lo,Grass,ABMI-1544-SW_2015
ABMI-1545-NE,2015,GrassHerb,Lo,Grass,ABMI-1545-NE_2015
ABMI-1545-NW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1545-NW_2015
ABMI-1545-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1545-SE_2015
ABMI-1545-SW,2015,CultivationCrop,CultivationCrop,HF,ABMI-1545-SW_2015
ABMI-1546-NE,2017,Shrub,,Shrub,ABMI-1546-NE_2017
ABMI-1546-NW,2017,Shrub,,Shrub,ABMI-1546-NW_2017
ABMI-1546-SE,2017,Shrub,,Shrub,ABMI-1546-SE_2017
ABMI-1546-SW,2017,Shrub,,Shrub,ABMI-1546-SW_2017
ABMI-1547-NW,2018,GrassHerb,,Grass,ABMI-1547-NW_2018
ABMI-1547-SW,2018,GrassHerb,,Grass,ABMI-1547-SW_2018
ABMI-154-NE,2017,Pine2,,Conif,ABMI-154-NE_2017
ABMI-154-NW,2017,Pine2,,Conif,ABMI-154-NW_2017
ABMI-154-SE,2017,Pine2,,Conif,ABMI-154-SE_2017
ABMI-154-SW,2017,Pine2,,Conif,ABMI-154-SW_2017
ABMI-1550-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1550-NE_2016
ABMI-1550-NW,2016,GrassHerb,Lo,HF,ABMI-1550-NW_2016
ABMI-1550-SE,2016,GrassHerb,Lo,HF,ABMI-1550-SE_2016
ABMI-1550-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1550-SW_2016
ABMI-1551-NE,2016,GrassHerb,Sa,Grass,ABMI-1551-NE_2016
ABMI-1551-NW,2016,GrassHerb,Sa,Grass,ABMI-1551-NW_2016
ABMI-1551-SE,2016,Shrub,LtcR,Grass,ABMI-1551-SE_2016
ABMI-1551-SW,2016,GrassHerb,LtcR,Grass,ABMI-1551-SW_2016
ABMI-1552-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1552-NE_2016
ABMI-1552-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1552-NW_2016
ABMI-1552-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1552-SE_2016
ABMI-1552-SW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1552-SW_2016
ABMI-1556-NE,2015,GrassHerb,Lo,Grass,ABMI-1556-NE_2015
ABMI-1556-NW,2015,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1556-NW_2015
ABMI-1556-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1556-SE_2015
ABMI-1556-SW,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1556-SW_2015
ABMI-1557-NE,2015,CultivationRoughPasture,CultivationRoughPasture,HF,ABMI-1557-NE_2015
ABMI-1557-NW,2015,GrassHerb,Sy,Grass,ABMI-1557-NW_2015
ABMI-1557-SE,2015,GrassHerb,UNK,Grass,ABMI-1557-SE_2015
ABMI-1557-SW,2015,GrassHerb,Sy,Grass,ABMI-1557-SW_2015
ABMI-1558-NE,2015,GrassHerb,TB,Grass,ABMI-1558-NE_2015
ABMI-1558-NW,2015,GrassHerb,Ov,Grass,ABMI-1558-NW_2015
ABMI-1558-SE,2015,GrassHerb,TB,Grass,ABMI-1558-SE_2015
ABMI-1558-SW,2015,GrassHerb,Ov,Grass,ABMI-1558-SW_2015
ABMI-1559-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1559-NE_2017
ABMI-1559-NW,2017,CultivationCrop,CultivationCrop,HF,ABMI-1559-NW_2017
ABMI-1559-SE,2017,Marsh,Lo,WetGrass,ABMI-1559-SE_2017
ABMI-1559-SW,2017,GrassHerb,Lo,Grass,ABMI-1559-SW_2017
ABMI-1560-NE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1560-NE_2017
ABMI-1560-NW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1560-NW_2017
ABMI-1560-SE,2017,CultivationCrop,CultivationCrop,HF,ABMI-1560-SE_2017
ABMI-1560-SW,2017,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1560-SW_2017
ABMI-1562-NE,2018,CultivationCrop,CultivationCrop,HF,ABMI-1562-NE_2018
ABMI-1562-SW,2018,CultivationCrop,CultivationCrop,HF,ABMI-1562-SW_2018
ABMI-1564-NE,2018,Bare,,Grass,ABMI-1564-NE_2018
ABMI-1564-NW,2018,Spruce9,,Conif,ABMI-1564-NW_2018
ABMI-1564-SE,2018,Spruce9,,Conif,ABMI-1564-SE_2018
ABMI-1564-SW,2018,Shrub,,Shrub,ABMI-1564-SW_2018
ABMI-1565-NE,2018,Spruce5,,Conif,ABMI-1565-NE_2018
ABMI-1565-NW,2018,Pine6,,Conif,ABMI-1565-NW_2018
ABMI-1565-SE,2018,Decid5,,Decid,ABMI-1565-SE_2018
ABMI-1565-SW,2018,Pine5,,Conif,ABMI-1565-SW_2018
ABMI-1566-NE,2018,GrassHerb,,Grass,ABMI-1566-NE_2018
ABMI-1566-NW,2018,GrassHerb,,Grass,ABMI-1566-NW_2018
ABMI-1566-SE,2018,GrassHerb,,Grass,ABMI-1566-SE_2018
ABMI-1566-SW,2018,GrassHerb,,Grass,ABMI-1566-SW_2018
ABMI-1567-NE,2016,GrassHerb,Lo,Grass,ABMI-1567-NE_2016
ABMI-1567-NW,2016,GrassHerb,Lo,Grass,ABMI-1567-NW_2016
ABMI-1567-SE,2016,GrassHerb,Lo,Grass,ABMI-1567-SE_2016
ABMI-1567-SW,2016,GrassHerb,Lo,Grass,ABMI-1567-SW_2016
ABMI-1568-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1568-NE_2016
ABMI-1568-NW,2016,CultivationCrop,CultivationCrop,Grass,ABMI-1568-NW_2016
ABMI-1568-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1568-SE_2016
ABMI-1568-SW,2016,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1568-SW_2016
ABMI-1569-NE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1569-NE_2016
ABMI-1569-NW,2016,CultivationCrop,CultivationCrop,HF,ABMI-1569-NW_2016
ABMI-1569-SE,2016,CultivationCrop,CultivationCrop,HF,ABMI-1569-SE_2016
ABMI-1569-SW,2016,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1569-SW_2016
ABMI-1573-NE,2015,CultivationTamePasture,CultivationTamePasture,HF,ABMI-1573-NE_2015
ABMI-1573-NW,2015,UrbanIndustrial,UrbanIndustrial,HF,ABMI-1573-NW_2015
ABMI-1573-SE,2015,CultivationCrop,CultivationCrop,HF,ABMI-1573-SE_2015
ABMI-1573-SW,2015,RoadVegetatedVerge,RoadVegetatedVerge,HF,ABMI-1573-SW_2015
ABMI-1574-NE,2015,Shrub,Sa,Shrub,ABMI-1574-NE_2015
ABMI-1574-NW,2015,Shrub,Sa,Shrub,ABMI-1574-NW_2015
ABMI-1574-SE,2015,GrassHerb,Sa,Grass,ABMI-1574-SE_2015
ABMI-1574-SW,2015,GrassHerb,Sa,Grass,ABMI-1574-SW_2015
